bank_id,date,amount,description,reference_id,currency
BNK_30017,2026-08-09,599816.35,DEPOSIT INFOSYS LOGISTICS REF50017,REF50017,INR
BNK_30040,2026-08-08,396228.28,DEPOSIT MAHINDRA FINANCIALS REF50040,REF50040,INR
BNK_30057,2026-08-05,568948.95,DEPOSIT AGARWAL TRADING REF50057,REF50057,INR
BNK_30080,2026-08-14,578901.54,DEPOSIT HCL LOGISTICS REF50079,REF50079,INR
BNK_30008,2026-08-05,375648.53,DEPOSIT RELIANCE INDUSTRIES REF50008,REF50008,INR
BNK_30051,2026-08-07,305078.76,DEPOSIT KUMAR LOGISTICS REF50051,REF50051,INR
BNK_30054,2026-08-14,489791.41,DEPOSIT VERMA TECHNOLOGIES REF50054,REF50054,INR
BNK_30020,2026-08-13,64869.25,DEPOSIT SINGHANIA SOLUTIONS REF50020,REF50020,INR
BNK_30067,2026-08-06,752301.16,DEPOSIT WIPRO SPARES PVT LTD REF50067,REF50067,INR
BNK_30026,2026-08-07,704237.54,DEPOSIT RELIANCE LOGISTICS REF50026,REF50026,INR
BNK_30045,2026-08-09,482102.56,DEPOSIT MAHINDRA TEXTILES PVT LTD REF50045,REF50045,INR
BNK_30014,2026-08-05,552422.19,DEPOSIT WIPRO LOGISTICS REF50014,REF50014,INR
BNK_30077,2026-08-11,88308.95,DEPOSIT KIRLOSKAR SPARES PVT LTD RFE50077,RFE50077,INR
BNK_30004,2026-08-17,577075.4,DEPOSIT WIPRO LOGISTICS REF50004,REF50004,INR
BNK_30018,2026-08-05,299167.21,DEPOSIT HCL FINANCIALS REF50018,REF50018,INR
BNK_30039,2026-08-05,799436.74,DEPOSIT RELIANCE EXPORTS REF50039,REF50039,INR
BNK_30009,2026-08-12,666082.66,DEPOSIT WIPRO TECHNOLOGIES REF50009,REF50009,INR
BNK_30066,2026-08-11,69495.29,DEPOSIT VERMA SERVICES REF50066,REF50066,INR
BNK_30007,2026-08-12,296798.81,DEPOSIT REDDY TEXTILES PVT LTD REF50007,REF50007,INR
BNK_30037,2026-08-17,367161.64,DEPOSIT PATEL TRADING REF50037,REF50037,INR
BNK_30073,2026-08-13,247089.33,DEPOSIT REDDY INDUSTRIES REF50073,REF50073,INR
BNK_30059,2026-08-16,47835.65,DEPOSIT SINGHANIA ENTERPRISES REF50059,REF50059,INR
BNK_30047,2026-08-13,473182.75,DEPOSIT SINGHANIA EXPORTS REF50047,REF50047,INR
BNK_30079,2026-08-16,107295.83,DEPOSIT PART 2 SHARMA & SONS REF50078,REF50078,INR
BNK_30016,2026-08-18,406896.54,DEPOSIT PATEL EXPORTS REF50016,REF50016,INR
BNK_30028,2026-08-17,223069.45,DEPOSIT WIPRO ENTERPRISES REF50028,REF50028,INR
BNK_30042,2026-08-19,561824.33,DEPOSIT MEHTA FINANCIALS REF50042,REF50042,INR
BNK_30027,2026-08-08,433174.34,DEPOSIT KUMAR HOLDINGS REF50027,REF50027,INR
BNK_30049,2026-08-02,749551.42,DEPOSIT CHAWLA HOLDINGS REF50049,REF50049,INR
BNK_30025,2026-08-14,102816.16,DEPOSIT GODREJ & SONS REF50025,REF50025,INR
BNK_30044,2026-08-10,389278.99,DEPOSIT RELIANCE SOLUTIONS REF50044,REF50044,INR
BNK_30078,2026-08-16,99905.57,DEPOSIT PART 1 SHARMA & SONS REF50078,REF50078,INR
BNK_30058,2026-08-12,43282.09,DEPOSIT INFOSYS TRADING REF50058,REF50058,INR
BNK_30012,2026-08-03,541087.51,DEPOSIT BAJAJ LOGISTICS REF50012,REF50012,INR
BNK_30033,2026-08-19,118864.8,DEPOSIT PATEL TRADING REF50033,REF50033,INR
BNK_30076,2026-08-12,385114.08,DEPOSIT PATEL TRADING REF50076 LESS FEE 1337.08,REF50076,INR
BNK_30060,2026-08-06,210880.85,DEPOSIT PATEL EXPORTS REF50060,REF50060,INR
BNK_30064,2026-08-17,171664.67,DEPOSIT GODREJ LOGISTICS REF50064,REF50064,INR
BNK_30070,2026-08-01,571396.45,DEPOSIT VERMA & SONS REF50070,REF50070,INR
BNK_30038,2026-08-04,701471.47,DEPOSIT AGARWAL LOGISTICS REF50038,REF50038,INR
BNK_30030,2026-08-15,191387.41,DEPOSIT TATA LOGISTICS REF50030,REF50030,INR
BNK_30002,2026-08-03,596424.18,DEPOSIT TATA EXPORTS REF50002,REF50002,INR
BNK_30053,2026-08-04,222605.75,DEPOSIT TATA ENTERPRISES REF50053,REF50053,INR
BNK_30022,2026-08-07,245397.6,DEPOSIT CHAWLA TEXTILES PVT LTD REF50022,REF50022,INR
BNK_30003,2026-08-08,88550.76,DEPOSIT RELIANCE & SONS REF50003,REF50003,INR
BNK_30024,2026-08-01,613570.98,DEPOSIT INFOSYS SPARES PVT LTD REF50024,REF50024,INR
BNK_30075,2026-08-17,352462.2,DEPOSIT MEHTA LOGISTICS REF50075,REF50075,INR
BNK_30021,2026-08-05,777296.53,DEPOSIT BIRLA TECHNOLOGIES REF50021,REF50021,INR
BNK_30061,2026-08-11,136324.37,DEPOSIT KIRLOSKAR INDUSTRIES REF50061,REF50061,INR
BNK_30072,2026-08-11,721536.77,DEPOSIT TATA INDUSTRIES REF50072,REF50072,INR
BNK_30015,2026-08-07,225176.59,DEPOSIT CHAWLA FINANCIALS REF50015,REF50015,INR
BNK_30052,2026-08-01,528371.41,DEPOSIT KIRLOSKAR HOLDINGS REF50052,REF50052,INR
