ledger_id,date,amount,vendor,reference_id,currency
LED_20040,2026-08-08,396228.28,Mahindra Financials,REF50040,INR
LED_20057,2026-08-05,568948.95,Agarwal Trading,REF50057,INR
LED_20080,2026-08-14,578901.54,HCL Logistics,REF50079,INR
LED_20008,2026-08-05,375648.53,Reliance Industries,REF50008,INR
LED_20051,2026-08-07,305078.76,Kumar Logistics,REF50051,INR
LED_20054,2026-08-14,489791.41,Verma Technologies,REF50054,INR
LED_20020,2026-08-13,64869.25,Singhania Solutions,REF50020,INR
LED_20067,2026-08-06,752301.16,Wipro Spares Pvt Ltd,REF50067,INR
LED_20026,2026-08-07,704237.54,Reliance Logistics,REF50026,INR
LED_20045,2026-08-09,482102.56,Mahindra Textiles Pvt Ltd,REF50045,INR
LED_20014,2026-08-05,552422.19,Wipro Logistics,REF50014,INR
LED_20077,2026-08-10,88308.95,Kirloskar Spares Pvt Ltd,REF50077,INR
LED_20004,2026-08-17,577075.4,Wipro Logistics,REF50004,INR
LED_20018,2026-08-05,299167.21,HCL Financials,REF50018,INR
LED_20039,2026-08-05,799436.74,Reliance Exports,REF50039,INR
LED_20009,2026-08-12,666082.66,Wipro Technologies,REF50009,INR
LED_20066,2026-08-11,69495.29,Verma Services,REF50066,INR
LED_20007,2026-08-12,296798.81,Reddy Textiles Pvt Ltd,REF50007,INR
LED_20037,2026-08-17,367161.64,Patel Trading,REF50037,INR
LED_20073,2026-08-08,247089.33,Reddy Industries,REF50073,INR
LED_20059,2026-08-16,47835.65,Singhania Enterprises,REF50059,INR
LED_20047,2026-08-13,473182.75,Singhania Exports,REF50047,INR
LED_20079,2026-08-14,578901.54,HCL Logistics,REF50079,INR
LED_20016,2026-08-18,406896.54,Patel Exports,REF50016,INR
LED_20028,2026-08-17,223069.45,Wipro Enterprises,REF50028,INR
LED_20042,2026-08-19,561824.33,Mehta Financials,REF50042,INR
LED_20027,2026-08-08,433174.34,Kumar Holdings,REF50027,INR
LED_20049,2026-08-02,749551.42,Chawla Holdings,REF50049,INR
LED_20025,2026-08-14,102816.16,Godrej & Sons,REF50025,INR
LED_20044,2026-08-10,389278.99,Reliance Solutions,REF50044,INR
LED_20078,2026-08-16,207201.4,Sharma & Sons,REF50078,INR
LED_20058,2026-08-12,43282.09,Infosys Trading,REF50058,INR
LED_20012,2026-08-03,541087.51,Bajaj Logistics,REF50012,INR
LED_20033,2026-08-19,118864.8,Patel Trading,REF50033,INR
LED_20076,2026-08-10,386451.16,Patel Trading,REF50076,INR
LED_20060,2026-08-06,210880.85,Patel Exports,REF50060,INR
LED_20064,2026-08-17,171664.67,Godrej Logistics,REF50064,INR
LED_20070,2026-08-01,571396.45,Verma & Sons,REF50070,INR
LED_20038,2026-08-04,701471.47,Agarwal Logistics,REF50038,INR
LED_20030,2026-08-15,191387.41,Tata Logistics,REF50030,INR
LED_20002,2026-08-03,596424.18,Tata Exports,REF50002,INR
LED_20053,2026-08-04,222605.75,Tata Enterprises,REF50053,INR
LED_20022,2026-08-07,245397.6,Chawla Textiles Pvt Ltd,REF50022,INR
LED_20003,2026-08-08,88550.76,Reliance & Sons,REF50003,INR
LED_20024,2026-08-01,613570.98,Infosys Spares Pvt Ltd,REF50024,INR
LED_20075,2026-08-12,352462.2,Mehta Logistics,REF50075,INR
LED_20021,2026-08-05,777296.53,Birla Technologies,REF50021,INR
LED_20061,2026-08-11,136324.37,Kirloskar Industries,REF50061,INR
LED_20072,2026-08-11,721536.77,Tata Industries,REF50072,INR
LED_20015,2026-08-07,225176.59,Chawla Financials,REF50015,INR
LED_20052,2026-08-01,528371.41,Kirloskar Holdings,REF50052,INR
